Curve ID,Cx,Cy,PCx,PCy,PTx,PTy,TPCx,TPcy,TPTx,TPTy,Posted Speed,Advisory Speed,INCLINATION
71,2422789.3900379627,1739150.1876930494,2422876.5791375637,1739051.0800233528,2422844.318536085,1739270.2173951035,,,,,35.0,20.0,0
76,2422907.0086868126,1741610.4347729937,2423135.696073711,1741392.2689384206,2423222.7407291154,1741624.8406663896,,,,,35.0,35.0,0
17,2446786.661415066,1703993.79633507,2446162.5850122524,1702696.2509445096,2445561.2638807036,1703237.8226054413,,,,,45.0,70.0,0
35,2425014.2337938272,1712699.3168704584,2424756.5915361666,1712676.7722988,2424868.5113796094,1712912.9819556717,,,,,30.0,30.0,0
91,2423841.208722543,1751941.1926868234,2423799.072486921,1751806.552992517,2423820.0040925797,1752080.6691124411,,,,,45.0,20.0,0
19,2443950.0811334276,1705086.047965347,2444238.6024881685,1704250.66974445,2443653.3853796585,1704253.537921093,,,,,45.0,55.0,0
66,2423304.499649389,1737675.7032501528,2423440.1562895915,1737639.312759557,2423245.692352337,1737548.1544608609,,,,,35.0,25.0,0
93,2424687.4203694463,1752775.862598853,2424708.548295572,1752644.244609146,2424820.584024267,1752769.7695280316,,,,,45.0,20.0,0
3,2501383.9213577798,1676910.6821671203,2502573.9150187136,1678358.6330875428,2501253.0111316214,1678780.3102835359,,,,,55.0,75.0,0
55,2424553.410382013,1736987.4410976055,2424172.9140697215,1737125.8628515431,2424379.035402315,1737352.8605717535,,,,,35.0,35.0,0
65,2423563.9082733924,1737612.8298869147,2423618.7280225684,1737726.7675355622,2423478.913744352,1737706.4403709,,,,,35.0,20.0,0
94,2425038.98276878,1752896.2614664366,2424812.987694576,1752815.1178144212,2424859.360831311,1753055.6164958728,,,,,45.0,25.0,0
87,2423225.8257102873,1750392.9298640003,2423326.0897087604,1750206.0205799348,2423424.437926049,1750467.3686818953,,,,,45.0,30.0,0
68,2423138.1893296437,1738570.9012142569,2423217.407302533,1738494.6648107893,2423157.1607945436,1738679.1950735555,,,,,35.0,20.0,0
60,2424380.538855978,1738401.3516346817,2424433.332849038,1738476.668296958,2424292.3510805485,1738375.2226931641,,,,,35.0,15.0,0
77,2423596.6407525046,1742241.568083183,2423309.1565610007,1742150.0649615414,2423363.045463809,1742432.4953539844,,,,,35.0,35.0,0
106,2428611.549745416,1789564.8784186214,2427832.72118216,1789069.7832540714,2427695.5673709605,1789677.4370370812,,,,,55.0,55.0,0
75,2423224.2508278275,1741156.1172386713,2423156.8642780017,1740986.1949288424,2423056.4245590167,1741228.5664068677,,,,,35.0,25.0,0
31,2431885.676113051,1708822.9568702886,2432078.2689003563,1708932.9782721174,2431791.3864944223,1709023.7208072941,,,,,35.0,30.0,0
53,2422438.671491525,1731388.240017561,2421675.744830318,1730871.5132049825,2421517.9153390396,1731423.9022788603,,,,,45.0,60.0,0
9,2487455.498323424,1680561.8356088796,2488464.7146926015,1679135.8760929187,2487524.9812867185,1678816.2553790454,,,,,35.0,70.0,0
89,2424134.1520556724,1750914.411813858,2423478.045091372,1751023.1967449365,2423692.1116387723,1751411.312990814,,,,,45.0,50.0,0
20,2442191.30001145,1703982.1924778318,2442481.6619301396,1704634.227284649,2441573.7532903133,1704340.096767187,,,,,45.0,50.0,0
37,2424796.6844106107,1713404.8408590779,2425101.9270922034,1713449.6585622649,2424818.656779252,1713712.5727817009,,,,,30.0,35.0,0
14,2465142.9689900246,1685356.1426773027,2465454.1850741985,1683671.2307675902,2464410.1679584123,1683807.3411268734,,,,,55.0,75.0,0
33,2429487.3357677623,1708903.2412274624,2430281.9841528754,1709713.3615034956,2429624.7615606557,1710029.6847764475,,,,,35.0,55.0,0
57,2425354.421273381,1738399.0088870332,2425433.8749419847,1738354.2063807957,2425274.9676047866,1738443.8113932728,,,,,35.0,15.0,0
16,2458988.283622993,1686133.5802478483,2461320.7198306937,1686640.586119855,2460711.9612590056,1687784.7159249957,,,,,55.0,80.0,0
97,2425109.810218129,1755397.1290876444,2425477.9923711773,1754348.5919198338,2425965.717912031,1754688.3200092455,,,,,55.0,50.0,0
103,2430633.326977177,1770728.5066706578,2431217.5198302367,1770123.4216757964,2431452.78381369,1770539.0346841686,,,,,55.0,50.0,0
7,2490416.640813492,1678062.7443148007,2490616.3926107557,1678012.5696899304,2490552.1771073067,1678217.8190920867,,,,,35.0,20.0,0
64,2423687.4918993195,1737813.5751780185,2423784.1806137324,1737821.0899031158,2423677.677320349,1737717.092782588,,,,,35.0,20.0,0
99,2427691.644922489,1759565.8607705662,2428007.6532149324,1759203.9640294802,2428170.610451679,1759528.1445412957,,,,,55.0,45.0,0
85,2423250.14493814,1749598.2844795927,2423478.7677058675,1749536.4308077216,2423395.4493367136,1749785.3162373314,,,,,45.0,25.0,0
69,2423012.52095328,1738688.1460500534,2423042.302240101,1738405.9112242297,2423207.7999529243,1738482.2102973298,,,,,35.0,30.0,0
54,2423690.4836899205,1737201.7984471745,2423943.270383999,1736798.5170615176,2424127.7061011014,1737013.7198681666,,,,,35.0,35.0,0
82,2423922.699031262,1744431.9160257105,2423710.798178933,1743732.471747211,2423337.9804844107,1743993.4773288416,,,,,35.0,45.0,0
29,2432979.089228929,1707285.1001915273,2432797.1058393884,1707017.5049029314,2432684.865466116,1707419.850219145,,,,,35.0,35.0,0
46,2421423.682223176,1720313.4516246242,2421945.412209676,1719908.098300709,2422084.135709826,1720331.1910720486,,,,,45.0,50.0,0
