FID,x_ft,y_ft
0,2515783.921,1671794.719
1,2515772.994,1671804.995
2,2515762.201,1671815.41
3,2515751.562,1671825.984
4,2515741.233,1671836.859
5,2515731.292,1671848.09
6,2515721.937,1671859.809
7,2515713.365,1671872.113
8,2515705.357,1671884.796
9,2515697.348,1671897.479
10,2515689.34,1671910.162
11,2515681.021,1671922.641
12,2515672.06,1671934.667
13,2515662.258,1671946.013
14,2515651.788,1671956.751
15,2515640.874,1671967.041
16,2515629.755,1671977.108
17,2515618.47,1671986.989
18,2515607.051,1671996.715
19,2515595.425,1672006.191
20,2515583.688,1672015.532
21,2515571.856,1672024.751
22,2515559.985,1672033.92
23,2515548.061,1672043.021
24,2515536.084,1672052.051
25,2515524.012,1672060.954
26,2515511.811,1672069.679
27,2515499.304,1672077.957
28,2515486.404,1672085.604
29,2515473.017,1672092.363
30,2515459.322,1672098.479
31,2515445.459,1672104.208
32,2515431.483,1672109.654
33,2515417.435,1672114.91
34,2515403.314,1672119.967
35,2515389.103,1672124.765
36,2515374.734,1672129.065
37,2515360.193,1672132.738
38,2515345.489,1672135.698
39,2515330.73,1672138.376
40,2515315.92,1672140.756
41,2515301.091,1672143.015
42,2515286.255,1672145.225
43,2515271.407,1672147.355
44,2515256.555,1672149.456
45,2515241.686,1672151.434
46,2515226.812,1672153.374
47,2515211.916,1672155.131
48,2515197.014,1672156.844
49,2515182.112,1672158.557
50,2515167.21,1672160.27
51,2515152.302,1672161.923
52,2515137.392,1672163.567
53,2515122.483,1672165.212
54,2515107.573,1672166.857
55,2515092.664,1672168.502
56,2515077.754,1672170.147
57,2515062.845,1672171.792
58,2515047.935,1672173.437
59,2515033.026,1672175.081
60,2515018.116,1672176.726
61,2515003.207,1672178.371
62,2514988.297,1672180.016
63,2514973.388,1672181.661
64,2514958.478,1672183.306
65,2514943.569,1672184.95
66,2514928.672,1672186.705
67,2514913.793,1672188.605
68,2514898.939,1672190.685
69,2514884.149,1672193.183
70,2514869.497,1672196.384
71,2514855.005,1672200.248
72,2514840.668,1672204.655
73,2514826.396,1672209.272
74,2514812.202,1672214.123
75,2514798.008,1672218.973
76,2514783.83,1672223.871
77,2514769.665,1672228.804
78,2514755.499,1672233.738
79,2514741.334,1672238.671
80,2514727.168,1672243.605
81,2514713.003,1672248.538
82,2514698.838,1672253.472
83,2514684.672,1672258.405
84,2514670.507,1672263.339
85,2514656.341,1672268.272
86,2514642.176,1672273.206
87,2514628.051,1672278.253
88,2514613.954,1672283.378
89,2514599.913,1672288.655
90,2514585.991,1672294.238
91,2514572.127,1672299.965
92,2514558.31,1672305.801
93,2514544.523,1672311.711
94,2514530.736,1672317.621
95,2514516.968,1672323.574
96,2514503.204,1672329.536
97,2514489.44,1672335.498
98,2514475.675,1672341.46
99,2514461.911,1672347.421
100,2514448.147,1672353.383
101,2514434.382,1672359.345
102,2514420.634,1672365.344
103,2514406.894,1672371.361
104,2514393.157,1672377.384
105,2514379.462,1672383.505
106,2514365.768,1672389.626
107,2514352.073,1672395.746
108,2514338.379,1672401.867
109,2514324.684,1672407.988
110,2514310.99,1672414.108
111,2514297.296,1672420.229
112,2514283.601,1672426.349
113,2514269.907,1672432.47
114,2514256.212,1672438.591
115,2514242.518,1672444.711
116,2514228.824,1672450.832
117,2514215.129,1672456.952
118,2514201.435,1672463.073
119,2514187.74,1672469.194
120,2514174.046,1672475.314
121,2514160.351,1672481.435
122,2514146.657,1672487.556
123,2514132.963,1672493.676
124,2514119.268,1672499.797
125,2514105.574,1672505.917
126,2514091.879,1672512.038
127,2514078.185,1672518.159
128,2514064.49,1672524.279
129,2514050.796,1672530.4
130,2514037.102,1672536.52
131,2514023.407,1672542.641
132,2514009.713,1672548.762
133,2513996.018,1672554.882
134,2513982.324,1672561.003
135,2513968.63,1672567.124
136,2513954.935,1672573.244
137,2513941.241,1672579.365
138,2513927.546,1672585.485
139,2513913.852,1672591.606
140,2513900.157,1672597.727
141,2513886.463,1672603.847
142,2513872.769,1672609.968
143,2513859.067,1672616.072
144,2513845.354,1672622.152
145,2513831.642,1672628.233
146,2513817.892,1672634.228
147,2513804.092,1672640.104
148,2513790.236,1672645.85
149,2513776.346,1672651.511
150,2513762.409,1672657.059
151,2513748.458,1672662.568
152,2513734.489,1672668.032
153,2513720.519,1672673.496
154,2513706.55,1672678.961
155,2513692.581,1672684.425
156,2513678.611,1672689.889
157,2513664.642,1672695.353
158,2513650.673,1672700.817
159,2513636.703,1672706.281
160,2513622.734,1672711.745
161,2513608.765,1672717.21
162,2513594.795,1672722.674
163,2513580.826,1672728.138
164,2513566.857,1672733.602
165,2513552.887,1672739.066
166,2513538.918,1672744.53
167,2513524.949,1672749.994
168,2513510.979,1672755.458
169,2513497.01,1672760.923
170,2513483.041,1672766.387
171,2513469.071,1672771.851
172,2513455.102,1672777.315
173,2513441.133,1672782.779
174,2513427.163,1672788.243
175,2513413.164,1672793.63
176,2513399.157,1672798.996
177,2513385.09,1672804.203
178,2513370.97,1672809.264
179,2513356.716,1672813.935
180,2513342.445,1672818.553
181,2513328.079,1672822.868
182,2513313.713,1672827.183
183,2513299.347,1672831.499
184,2513284.962,1672835.748
185,2513270.572,1672839.983
186,2513256.182,1672844.217
187,2513241.792,1672848.452
188,2513227.403,1672852.687
189,2513213.013,1672856.922
190,2513198.623,1672861.157
191,2513184.233,1672865.391
