orientation,1
timestamp_nanosecond,local_timestamp_milliseconds,accel_x_mps2,accel_y_mps2,accel_z_mps2,rotation_x_sin_theta_by_2,rotation_y_sin_theta_by_2,rotation_z_sin_theta_by_2,rotation_cos_theta_by_2,angvelocity_x_radps,angvelocity_y_radps,angvelocity_z_radps,yaw,pitch,roll,bbi
1622750241771,1622750241771,10.118649,-0.14237295,-0.22642085,-0.7128283,-0.06752653,-0.69401026,0.07527126,-6.1084726E-4,-4.5813544E-4,0.0013744063,2.9331884,0.014065903,-1.5931692,
1622750241878,1622750241878,10.00499,-0.15672988,-0.2623132,-0.71286327,-0.06749065,-0.6939834,0.07522044,-3.0542363E-4,-3.0542363E-4,-6.1084726E-4,2.9390507,0.01565851,-1.5970086,
1622750241996,1622750241997,10.033704,-0.1160519,-0.24077778,-0.7128576,-0.06744377,-0.6939883,0.075269856,-0.0,-4.5813544E-4,-4.5813544E-4,2.9273279,0.011562364,-1.5947887,
1622750242097,1622750242097,10.044471,-0.0849452,-0.2635096,-0.71283287,-0.06751146,-0.69400686,0.07527273,-7.635591E-4,-4.5813544E-4,-9.162709E-4,2.9261706,0.008453802,-1.5970246,
1622750242197,1622750242197,9.917651,-0.16630118,-0.2527419,-0.7128931,-0.06743433,-0.69396067,0.07519705,-0.0,3.0542363E-4,-4.5813544E-4,2.9208968,0.016761187,-1.5962749,
1622750242298,1622750242298,10.11147,-0.17108682,-0.29222345,-0.7128716,-0.06743519,-0.6939775,0.07524496,-0.0,-9.162709E-4,-0.0010689828,2.924442,0.016911399,-1.5996885,
1622750242398,1622750242399,10.124631,-0.10289137,-0.22761725,-0.7129275,-0.06737966,-0.69393444,0.0751623,-3.0542363E-4,-7.635591E-4,-1.5271181E-4,2.9135592,0.010159564,-1.5932741,
1622750242500,1622750242501,10.061221,-0.16630118,-0.2324029,-0.71285737,-0.0674635,-0.6939883,0.07525497,1.5271181E-4,-3.0542363E-4,-1.5271181E-4,2.9255643,0.016523015,-1.5938911,
1622750242602,1622750242602,9.905687,-0.1268196,-0.26590243,-0.7128515,-0.06744458,-0.6939931,0.07528297,1.5271181E-4,-3.0542363E-4,3.0542363E-4,2.9324815,0.012797398,-1.5976332,
1622750242702,1622750242703,9.997811,-0.1794617,-0.2730809,-0.7128973,-0.06737534,-0.6939581,0.07523382,1.5271181E-4,-3.0542363E-4,6.1084726E-4,2.9406393,0.017941482,-1.5981036,
1622750242803,1622750242803,10.095917,-0.16630118,-0.2216352,-0.71285886,-0.06742086,-0.69398767,0.075285,4.5813544E-4,3.0542363E-4,1.5271181E-4,2.934218,0.016466666,-1.5927458,
1622750242902,1622750242903,10.075578,-0.10887343,-0.23838496,-0.71278703,-0.06757153,-0.69404197,0.07532907,-0.0,9.162709E-4,-4.5813544E-4,2.9275966,0.010802233,-1.5944515,
1622750243003,1622750243003,9.978668,-0.1591227,-0.2862414,-0.71279746,-0.067469604,-0.69403505,0.075385235,-3.0542363E-4,-4.5813544E-4,-9.162709E-4,2.9364142,0.01593838,-1.5994738,
1622750243103,1622750243104,10.0372925,-0.10767702,-0.2754737,-0.7128567,-0.06736036,-0.69399005,0.075337134,-3.0542363E-4,0.0,3.0542363E-4,2.9301722,0.010723247,-1.5982344,
1622750243204,1622750243204,10.086346,-0.1471586,-0.25872394,-0.71284837,-0.067407586,-0.693996,0.07531897,-0.0,-3.0542363E-4,6.1084726E-4,2.9312618,0.0145840505,-1.5964416,
1622750243305,1622750243306,10.074382,-0.18544376,-0.22402802,-0.71289057,-0.06742004,-0.6939628,0.075214,1.5271181E-4,0.0,0.0015271181,2.9281936,0.018400831,-1.5930301,
1622750243405,1622750243406,9.98824,-0.16630118,-0.2515455,-0.7128511,-0.0674239,-0.6939937,0.07530008,-0.0,3.0542363E-4,-1.5271181E-4,2.934541,0.016642882,-1.5959752,
1622750243506,1622750243506,10.044471,-0.15074782,-0.26590243,-0.7128508,-0.06739849,-0.6939942,0.0753206,-6.1084726E-4,-4.5813544E-4,-1.5271181E-4,2.9371767,0.015001657,-1.5972626,
1622750243607,1622750243607,10.066007,-0.1471586,-0.24077778,-0.712894,-0.067285046,-0.6939618,0.07531187,-3.0542363E-4,3.0542363E-4,-4.5813544E-4,2.9302294,0.014614141,-1.5947117,
1622750243708,1622750243708,9.997811,-0.15314065,-0.24197419,-0.71290106,-0.067368954,-0.69395524,0.07523032,-6.1084726E-4,-3.0542363E-4,-1.5271181E-4,2.9322374,0.015311737,-1.5949943,
1622750243809,1622750243810,9.952348,-0.13758731,-0.26111677,-0.71283925,-0.06747995,-0.6940023,0.075282946,-0.0,-3.0542363E-4,-0.0010689828,2.926893,0.013818972,-1.5970271,
1622750243911,1622750243912,9.972687,-0.17347965,-0.27906293,-0.7127774,-0.06750146,-0.6940504,0.07540568,-3.0542363E-4,-4.5813544E-4,1.5271181E-4,2.9268515,0.017386919,-1.5987717,
1622750244012,1622750244012,10.028918,-0.08973085,-0.2670988,-0.7128162,-0.06737854,-0.6940215,0.07541429,-7.635591E-4,-3.0542363E-4,-0.0013744063,2.9227834,0.008943801,-1.5974228,
1622750244112,1622750244113,10.002597,-0.13878371,-0.2862414,-0.7128348,-0.06734596,-0.6940074,0.07539783,1.5271181E-4,7.635591E-4,-4.5813544E-4,2.9258044,0.0138682,-1.5994053,
1622750244213,1622750244213,9.983455,-0.16031912,-0.26111677,-0.7128217,-0.06740156,-0.69401693,0.07538375,-0.0010689828,-7.635591E-4,1.5271181E-4,2.9278836,0.016051613,-1.5969453,
1622750244314,1622750244315,9.966704,-0.13280165,-0.2324029,-0.71277297,-0.06754153,-0.69405335,0.07538432,1.5271181E-4,-4.5813544E-4,-4.5813544E-4,2.9248984,0.013320122,-1.59411,
1622750244415,1622750244415,10.087543,-0.13998012,-0.26111677,-0.71280307,-0.06748154,-0.6940306,0.07536337,-3.0542363E-4,-7.635591E-4,-4.5813544E-4,2.9289777,0.013870997,-1.5966756,
1622750244516,1622750244516,10.014561,-0.09332009,-0.27906293,-0.7127959,-0.06738089,-0.6940374,0.07545817,1.5271181E-4,3.0542363E-4,-9.162709E-4,2.934304,0.009314556,-1.5986549,
1622750244616,1622750244617,9.961919,-0.12921242,-0.27906293,-0.71287,-0.0673289,-0.69398004,0.075331755,-7.635591E-4,4.5813544E-4,-9.162709E-4,2.9388502,0.012964823,-1.598802,
1622750244716,1622750244717,10.036097,-0.124426775,-0.21684955,-0.7129529,-0.06722085,-0.6939165,0.07522929,-0.0,4.5813544E-4,-4.5813544E-4,2.9328547,0.0123943975,-1.5924,
1622750244817,1622750244817,10.042078,-0.1363909,-0.2670988,-0.71282804,-0.067435086,-0.6940116,0.0753434,-0.0,-4.5813544E-4,6.1084726E-4,2.9441836,0.013576304,-1.597388,
1622750244918,1622750244918,9.978668,-0.15672988,-0.26590243,-0.71259505,-0.06766734,-0.69419086,0.07568687,4.5813544E-4,3.0542363E-4,7.635591E-4,2.9418151,0.015699629,-1.5974371,
